,iso3,whoname,year,pnd,igme_pnd,igme_pnd_pcrisis,igme_pncrisis,Type
276,BDI,Burundi,2000,28631.9716,30397,30360,-37,Conflict
277,BDI,Burundi,2001,28061.60197,29717,29710,-7,Conflict
470,BHS,Bahamas,2019,16.5996831,18,67,49,Natural Disaster
500,BIH,Bosnia and Herzegovina,2024,35.93208105,36,64,28,Natural Disaster
592,BRA,Brazil,2016,17989.99446,18768,19983,1215,Zika
593,BRA,Brazil,2017,17088.74066,17896,17888,-8,Zika
594,BRA,Brazil,2018,16784.37313,17571,17570,-1,Zika
595,BRA,Brazil,2019,16333.54001,17094,17092,-2,Zika
596,BRA,Brazil,2020,15548.22614,16361,16360,-1,Zika
597,BRA,Brazil,2021,15225.3255,16095,16094,-1,Zika
710,CAF,Central African Republic,2009,16353.4657,17727,99006,81279,Conflict
711,CAF,Central African Republic,2010,16355.98422,17627,20359,2732,Conflict
712,CAF,Central African Republic,2011,16261.39873,17442,16642,-800,Conflict
713,CAF,Central African Republic,2012,16207.43729,17314,16741,-573,Conflict
714,CAF,Central African Republic,2013,16039.62821,17158,19759,2601,Conflict
715,CAF,Central African Republic,2014,15780.74226,16789,31426,14637,Conflict
716,CAF,Central African Republic,2015,15354.72492,16235,16003,-232,Conflict
717,CAF,Central African Republic,2016,14795.01319,15542,18661,3119,Conflict
718,CAF,Central African Republic,2017,14558.55745,15322,24805,9483,Conflict
719,CAF,Central African Republic,2018,14374.86076,15129,17701,2572,Conflict
720,CAF,Central African Republic,2019,14152.67649,14842,48118,33276,Conflict
721,CAF,Central African Republic,2020,13950.34119,14603,18905,4302,Conflict
722,CAF,Central African Republic,2021,13805.05352,14357,31783,17426,Conflict
723,CAF,Central African Republic,2022,13785.02302,14358,97024,82666,Conflict
724,CAF,Central African Republic,2023,13471.03665,13979,12839,-1140,Conflict
725,CAF,Central African Republic,2024,13318.28522,13796,13193,-603,Conflict
876,COD,Democratic Republic of the Congo,2000,245090.306,253299,321857,68558,Conflict
877,COD,Democratic Republic of the Congo,2001,241270.8889,249243,317473,68230,Conflict
878,COD,Democratic Republic of the Congo,2002,236733.0263,244425,312513,68088,Conflict
879,COD,Democratic Republic of the Congo,2003,232100.8756,239473,307430,67957,Conflict
880,COD,Democratic Republic of the Congo,2004,226874.3023,233914,301681,67767,Conflict
881,COD,Democratic Republic of the Congo,2005,221051.9118,227693,224281,-3412,Conflict
882,COD,Democratic Republic of the Congo,2006,216084.8479,222453,220491,-1962,Conflict
883,COD,Democratic Republic of the Congo,2007,212151.3041,218288,217156,-1132,Conflict
884,COD,Democratic Republic of the Congo,2008,208889.1536,214733,214239,-494,Conflict
885,COD,Democratic Republic of the Congo,2009,206428.951,212076,212001,-75,Conflict
920,COG,Congo,2019,3789.57676,4945,6043,1098,Conflict
